scientific_name,local_name,is_tree_species,main_uses,family
Abies spectabilis,"Talis Patra, Gobrey Salla",t,"Timber (construction, paper pulp), medicinal (resin), religious (incense)",Pinaceae
Abies spp,Thingre Salla,t,,
Acacia catechu,Khayar,t,,
Acacia concinna,Shikakai,t,"MEDICINAL (hair care - pods as shampoo), nitrogen fixation, fodder",Fabaceae
Acer campbellii,Campbell Maple,t,"Timber, dominant with Magnolia in E. Nepal, doesn't extend west of central Nepal",Sapindaceae
Acer sterculiaceum,Phalant,t,"Timber (light construction), fuelwood, ornamental",Sapindaceae
Adina cardifolia,Karma,t,,
Adina cordifolia,Karma,t,"LARGE DIMENSION TIMBER (construction, plywood, veneer), excellent form (tall, straight), fuelwood",Rubiaceae
Aesculus indica,Pangar,t,"ORNAMENTAL (spectacular white flower spikes), timber (light construction), medicinal (seeds), shade tree",Sapindaceae
Albizia chinensis,Siris,t,"Timber (construction, furniture), fuelwood, soil improvement, shade",Fabaceae
Albizia lebbeck,"Siris, Sirus",t,"Agroforestry (shade for crops), fuelwood, timber, fodder (pods for livestock)",Fabaceae
Albizia procera,Safed Siris,t,"Fuelwood, soil improvement, shade, fodder (leaves)",Fabaceae
Albizia spp,Siris,t,,
Alnus nepalensis,Utis,t,"Fuelwood, timber (light construction), soil improvement, fodder",Betulaceae
Alnus nitida,Uttis,t,"TIMBER (light construction, plywood), fuelwood, SOIL IMPROVEMENT (nitrogen-fixing), erosion control",Betulaceae
Alstonia scholaris,Chhatim,t,"TIMBER (light, soft - blackboards, pencils, boxes), MEDICINAL (bark - antimalarial, fever), ornamental",Apocynaceae
Anogeissus latifolia,"Dhairo, Dhaukhair",t,"Timber (extremely hard, termite-resistant), gum (commercial), fuelwood",Combretaceae
Anthocephalus cadamba,Kadam,t,"TIMBER (construction, plywood, pulp), SACRED (Krishna's favorite tree), fragrant flowers, very fast growth (4-6m/year!)",Rubiaceae
Artocarpus lakoocha,Badahar,t,"FRUIT (edible - ripe and unripe used), TIMBER (durable, water-resistant), latex (minor uses)",Moraceae
Azadirachta indica,Neem,t,"MEDICINAL (universal medicine - antibacterial, antifungal), PESTICIDE (neem oil - organic farming), timber, shade",Meliaceae
Bauhinia variegata,Koiralo,t,"ORNAMENTAL (beautiful flowers), medicinal (bark, leaves), fodder (leaves), nitrogen fixation",Fabaceae
Betula utilis,Bhojpatra,t,"PAPER BARK (Buddhist manuscripts!), timber, fuelwood, sacred/cultural, ornamental",Betulaceae
Bombax ceiba,Simal,t,"Kapok fiber (pillows, mattresses), timber (soft wood), flowers (vegetable), medicinal",Malvaceae
Caragana spp.,Himalayan Pea Tree,t,"NITROGEN FIXATION (soil improvement in high altitudes!), erosion control, fuelwood, fodder, ornamental (yellow flowers)",Fabaceae
Carpinus viminea,Hornbeam,t,"TIMBER (moderately hard, ironwood!), FODDER (leaves!), musical instruments, agricultural implements",Betulaceae
Cassia fistula,Rajbriksha,t,"MEDICINAL (pods - laxative), ORNAMENTAL (spectacular yellow flowers), timber (limited)",Fabaceae
Castanopsis indica,Dhale Katus,t,"Timber (construction, furniture), fuelwood, edible nuts",Fagaceae
Castanopsis tribuloides,Katus,t,Timber and fuelwood,Fagaceae
Cedrela toona,Tooni,t,,
Celtis australis,Khari,t,"TIMBER (excellent! - tools, sports goods, agricultural implements, carvings!), FODDER, FUEL, MEDICINAL, vital to socioeconomic structure of hill people!",Cannabaceae
Choerospondias axillaris,Lapsi,t,"FRUIT (premium lapsi pickle - higher quality), timber (limited), young shoots (edible vegetable)",Anacardiaceae
Cupressus torulosa,Raj Salla,t,"TIMBER (construction, durable wood), religious use (temples, incense), ornamental",Cupressaceae
Dalbergia sissoo,"Sissoo, Sisau",t,"Timber (furniture, cabinets, musical instruments), agroforestry, shade",Fabaceae
Diospyros lotus,Date Plum,t,"EDIBLE FRUIT (sweet, honey-like, date-plum flavor!), timber (ebony wood)",Ebenaceae
Elaeocarpus spp.,Rudraksha,t,"SACRED SEEDS (Rudraksha prayer beads - Hindu/Buddhist), ornamental (blue flowers), timber",Elaeocarpaceae
Engelhardia spicata,"Mahua, Mauwa",t,"Fuelwood, fodder (leaves), bark (medicinal)",Juglandaceae
Erythrina arborescens,Phaledo,t,"ORNAMENTAL (spectacular red flowers), living fence, shade for coffee/cardamom, soil improvement, fodder",Fabaceae
Ficus neriifolia,Dudhilo,t,"MEDICINAL (stem bark juice for conjunctivitis and boils!), FODDER (foliage!), FUELWOOD",Moraceae
Gliricidia sepium,Khirro,t,"LIVING FENCE (easy to propagate from cuttings), nitrogen fixation, green manure, fodder, fuelwood",Fabaceae
Gmelina arborea,Khamari,t,"PREMIUM LIGHT TIMBER (furniture, plywood, musical instruments), fast plantation growth, high value",Lamiaceae
Haldina cordifolia,Karma,t,Timber and pulpwood,Rubiaceae
Hymenodictyon excelsum,Bhudkul,t,,
Ilex dipyrena,Kandeu,t,"Medicinal (pain, swelling, burns, fever), timber, ornamental",Aquifoliaceae
Juniperus indica,Dhupi,t,"INCENSE (Buddhist temples!), essential oil, forms ""incense forests"", HIGHEST WOODY PLANT (up to 5200m)",Cupressaceae
Juniperus recurva,Dhupi,t,"INCENSE (religious use), ornamental (graceful drooping foliage), fuelwood (limited)",Cupressaceae
Kydia calycina,Bhendre,t,"FIBER (strong bark fiber for ropes), fuelwood, fodder (leaves), traditional paper",Malvaceae
Lagerstroemia parviflora,Botdhayero,t,,
Larix griffithii,Saro Salla,t,"Timber (durable - used for construction), fuelwood, ecological (watershed protection)",Pinaceae
Leucaena leucocephala,Ipil Ipil,t,"NITROGEN FIXATION (60-200 kg N/ha/year!), fodder (high protein), fuelwood, green manure, erosion control",Fabaceae
Litchi chinensis,Litchi,t,"FRUIT (litchi - premium export product), timber (hard, limited use)",Sapindaceae
Litsea monopetala,Kutmero,t,"Medicinal (bark, leaves), aromatic oil, fuelwood",Lauraceae
Lyonia ovalifolia,Angeri,t,Fuelwood and fodder,Ericaceae
Machilus gamblei,Kawla,t,Timber and traditional uses,Lauraceae
Melia azedarach,Bakaino,t,"MEDICINAL (leaves, bark, seeds - antifungal, insecticide), ornamental, fuelwood, timber",Meliaceae
Michelia champaca,Champ,t,"PREMIUM TIMBER (fine-grained, aromatic), FRAGRANT FLOWERS (perfume, religious offerings), ornamental",Magnoliaceae
Phyllanthus emblica,Amala,t,"MEDICINAL (Triphala 2/3 - Ayurveda, highest vitamin C!), FRUIT (pickles, candies, juice), timber (limited)",Phyllanthaceae
Picea smithiana,Spreti Salla,t,"TIMBER (construction, paper pulp), resin, fuelwood, ornamental",Pinaceae
Pinus roxburghii,Sallo,t,"Timber (construction), resin (turpentine), fuelwood, charcoal",Pinaceae
Pinus wallichiana,Gobre Salla,t,"Timber (construction, furniture), resin, cones (edible seeds), ornamental",Pinaceae
Podocarpus neriifolius,Kal Salla,t,"Timber (construction, carving), ornamental (evergreen foliage), medicinal (bark)",Podocarpaceae
Populus ciliata,Lahare Pipal,t,"TIMBER (lightweight, pulp, plywood, matchsticks), erosion control, FASTEST-GROWING NATIVE (3-5m/year!)",Salicaceae
Pyrus pashia,Mayal,t,"EDIBLE FRUIT (wild pear), rootstock for grafting pears, timber (hard wood), wildlife food",Rosaceae
Quercus glauca,Phalant,t,Timber and fuelwood,Fagaceae
Quercus lamellosa,"Banjh, Phaledo",t,"Fuelwood (very high quality), timber (construction), fodder (leaves)",Fagaceae
Quercus lanata,Banjh,t,"TIMBER (hardwood), FODDER (leaves), FUELWOOD, carbon stocks in oak forests",Fagaceae
Quercus semecarpifolia,Kharsu,t,"Fuelwood (excellent quality), fodder (leaves), charcoal",Fagaceae
Quercus spp,Kharsu,t,,
Rhamnus spp.,Archal,t,"MEDICINAL (bark, leaves), DYE (yellow/brown from bark), fuelwood",Rhamnaceae
Rhododendron arboreum,Laligurans,t,"Ornamental, flowers (juice/pickle), medicinal, fuelwood",Ericaceae
Salix tetrasperma,Bis,t,"EROSION CONTROL (stream banks), basketry, live fencing, fuelwood, fodder",Salicaceae
Schima wallichii,Chilaune,t,"Timber, fuelwood, fodder (leaves for cattle)",Theaceae
Shorea robusta,"Sal, Sakhu",t,"Timber (construction, railway sleepers), resin, leaves (plates)",Dipterocarpaceae
Spondias pinnata,Amaro,t,"FRUIT (lapsi pickle - MAJOR COMMERCIAL PRODUCT), timber (light wood), young leaves (edible)",Anacardiaceae
Symplocos ramosissima,Kharane,t,Fuelwood and traditional medicine,Symplocaceae
Syzygium cumini,Jamun,t,Fruit and timber,Myrtaceae
Terminalia alata,Saj,t,"Timber (construction, furniture), bark (tannin), medicinal",Combretaceae
Terminalia bellirica,Barro,t,"Timber (construction, furniture), medicinal (Triphala - Ayurveda), fruits (dye, tannin)",Combretaceae
Terminalia chebula,Harro,t,"MEDICINAL (TRIPHALA - Ayurveda, high commercial value!), timber (construction), tannin (bark), dye",Combretaceae
Toona ciliata,Tooni,t,"PREMIUM TIMBER (""RED GOLD""! - furniture, wood paneling, construction, shipbuilding), AROMATIC oil from fruit, fragrant spicy odor",Meliaceae
Trewia nudiflora,Gamhari,t,,
Tsuga dumosa,Himalayan Hemlock,t,"Timber (construction, pulp), dominates with fir at 2500-3000m, 116-year dendrochronology study",Pinaceae
Tsuga spp,Dhupi Salla,t,,
Ulmus wallichiana,Chaplaas,t,"TIMBER (good quality!), FODDER (dried leaves for winter livestock!), firewood, thatching, MEDICINAL (overused!), revenue source",Ulmaceae
