plant_category,nepali_name,english_name,scientific_name,primary_use,secondary_uses,iucn_status,cites_appendix,distribution,notes
Tree,साल,Sal,Shorea robusta,Timber,"Firewood, Resin, Fodder",LC,Not listed,Terai to mid-hills,Most important timber species
Tree,खोटे सल्ला,Chir Pine,Pinus roxburghii,Timber,"Resin, Firewood",LC,Not listed,Mid-hills,Major source of resin
Tree,गोबे सल्ला,Blue Pine,Pinus wallichiana,Timber,Firewood,LC,Not listed,High hills,
Tree,पाटे सल्ला,Patula Pine,Pinus patula,Timber,Firewood,LC,Not listed,Mid-hills,Plantation species
Tree,सल्लो,Hemlock,Tsuga dumosa,Timber,Firewood,LC,Not listed,High hills,
Tree,देवदार,Deodar,Cedrus deodara,Timber,"Medicinal, Construction",LC,Not listed,Western Nepal hills,
Tree,तालीसपत्र,Fir,Abies spectabilis,Timber,Medicinal,LC,Not listed,High Himalayas,
Tree,स्प्रुस,Spruce,Picea smithiana,Timber,Construction,LC,Not listed,High hills,
Tree,सिसौ,Rosewood,Dalbergia sissoo,Timber,"Fodder, Fuelwood",LC,Not listed,Terai to mid-hills,Most valuable timber
Tree,कर्मा,Adina,Haldina cordifolia,Timber,Firewood,LC,Not listed,Terai,
Tree,सागवान,Teak,Tectona grandis,Timber,Construction,NT,Not listed,Terai,Plantation species
Tree,असना,Asna,Terminalia tomentosa,Timber,"Fodder, Medicinal",LC,Not listed,Terai to hills,
Tree,हर्रो,Myrobalan,Terminalia chebula,Medicinal,"Timber, Fodder",LC,Not listed,Terai to mid-hills,
Tree,बर्रो,Beleric,Terminalia bellirica,Medicinal,"Timber, Fodder",LC,Not listed,Terai to mid-hills,
Tree,चाँप,Champak,Michelia champaca,Timber,"Medicinal, Ornamental",NT,Not listed,Hills,Fragrant flowers
Tree,सतितसाल,Indian Blackwood,Dalbergia latifolia,Timber,Valuable wood,VU,Not listed,Terai,High value timber
Tree,बिक्रमसाल,Red Sandalwood,Pterocarpus marsupium,Timber,Medicinal,NT,Not listed,Terai,
Tree,टुनी,Toon Tree,Toona ciliata,Timber,"Fodder, Medicinal",VU,Not listed,Terai to hills,
Tree,जामुन,Jamun,Syzygium cumini,Fruit,"Timber, Medicinal",LC,Not listed,Terai to hills,
Tree,आँप,Mango,Mangifera indica,Fruit,"Timber, Fodder",LC,Not listed,Terai to mid-hills,
Tree,कटहर,Jackfruit,Artocarpus heterophyllus,Fruit,"Timber, Fodder",LC,Not listed,Terai,
Tree,रुख,Banyan,Ficus benghalensis,Sacred,"Fodder, Medicinal",LC,Not listed,Terai to hills,National tree
Tree,पिपल,Peepal,Ficus religiosa,Sacred,"Fodder, Medicinal",LC,Not listed,Terai to hills,Sacred tree
Tree,बर,Indian Fig,Ficus racemosa,Fruit,"Fodder, Medicinal",LC,Not listed,Terai to hills,
Tree,पाखुरी,Fig Tree,Ficus lacor,Fodder,Fruit,LC,Not listed,Terai to hills,
Tree,कब्रो,Kadam,Neolamarckia cadamba,Timber,Medicinal,LC,Not listed,Terai,
Tree,सेमल,Silk Cotton,Bombax ceiba,Fodder,"Fiber, Medicinal",LC,Not listed,Terai to hills,
Tree,खयर,Cutch Tree,Acacia catechu,Timber,"Dye, Medicinal",LC,Not listed,Terai,
Tree,बाबुल,Babul,Acacia nilotica,Fuelwood,"Fodder, Gum",LC,Not listed,Terai,
Tree,सिरिस,Siris,Albizia lebbeck,Fodder,"Timber, Medicinal",LC,Not listed,Terai to hills,
Tree,कालो सिरिस,Black Siris,Albizia julibrissin,Ornamental,Fodder,LC,Not listed,Hills,
Tree,नीम,Neem,Azadirachta indica,Medicinal,"Timber, Pesticide",LC,Not listed,Terai,
Tree,बोधि चिरौंजी,Chironji,Buchanania lanzan,Nut,"Timber, Medicinal",LC,Not listed,Terai,
Tree,मसला,Eucalyptus,Eucalyptus spp.,Timber,"Fuelwood, Oil",LC,Not listed,Plantation species,
Tree,सल्लो आर्बर,Oak (Banj),Quercus incana,Fuelwood,"Fodder, Timber",LC,Not listed,Mid-hills,Most common oak
Tree,कहरू,Oak (Kharsu),Quercus semecarpifolia,Fuelwood,Fodder,LC,Not listed,High hills,
Tree,फलाँट,Oak (Phalant),Quercus glauca,Fuelwood,Fodder,LC,Not listed,Mid-hills,
Tree,उत्तिस,Alder,Alnus nepalensis,Timber,"Fuelwood, Nitrogen-fixing",LC,Not listed,Mid to high hills,
Tree,चिलाउने,Chilaune,Schima wallichii,Fuelwood,"Timber, Fodder",LC,Not listed,Mid-hills,Common species
Tree,काफल,Box Myrtle,Myrica esculenta,Fruit,"Fuelwood, Medicinal",LC,Not listed,Mid-hills,Edible fruit
Tree,रुद्राक्ष,Rudraksha,Elaeocarpus sphaericus,Sacred,"Timber, Medicinal",VU,Not listed,Mid-hills,Sacred beads
Tree,तेजपात,Cinnamon,Cinnamomum tamala,Spice,Medicinal,LC,Not listed,Mid-hills,
Tree,अलैंची,Cardamom tree,Amomum subulatum,Spice,Medicinal,LC,Not listed,Eastern hills,
Tree,अर्जुन,Arjun,Terminalia arjuna,Medicinal,"Timber, Fodder",LC,Not listed,Terai to hills,
Tree,पीपल,Sacred Fig,Ficus religiosa,Sacred,Medicinal,LC,Not listed,Terai to hills,
Tree,ओखर,Walnut,Juglans regia,Nut,"Timber, Medicinal",NT,Not listed,Mid to high hills,
Tree,लपसी,Lapsi,Choerospondias axillaris,Fruit,Pickle,LC,Not listed,Mid-hills,
Tree,अमला,Indian Gooseberry,Phyllanthus emblica,Fruit,Medicinal,LC,Not listed,Terai to hills,
Tree,बेल,Wood Apple,Aegle marmelos,Fruit,Medicinal,LC,Not listed,Terai,
Tree,गुराँस,Rhododendron,Rhododendron arboreum,Ornamental,"Medicinal, Fodder",LC,Not listed,Mid to high hills,National flower
Tree,लालीगुराँस,Red Rhododendron,Rhododendron campanulatum,Ornamental,Medicinal,LC,Not listed,High hills,
Tree,खोटे गुराँस,White Rhododendron,Rhododendron anthopogon,Ornamental,Medicinal,LC,Not listed,High Himalayas,
Tree,चिउरी,Butter Tree,Diploknema butyracea,Oil,"Fruit, Timber",LC,Not listed,Mid-hills,
Tree,रिठा,Soapnut,Sapindus mukorossi,Soap,"Medicinal, Fuelwood",LC,Not listed,Mid-hills,
Tree,कुसुम,Kusum,Schleichera oleosa,Oil,"Timber, Lac host",LC,Not listed,Terai,
Tree,महुआ,Mahua,Madhuca longifolia,Oil,"Fruit, Flowers edible",VU,Not listed,Terai,
Tree,पलास,Flame of Forest,Butea monosperma,Fodder,"Medicinal, Dye",LC,Not listed,Terai to hills,
Tree,गम्हारी,Gmelina,Gmelina arborea,Timber,"Fodder, Medicinal",LC,Not listed,Terai,
Tree,हल्दु,Haldu,Haldina cordifolia,Timber,Fuelwood,LC,Not listed,Terai,
Tree,फिरफिरे,Phoenix Tree,Sterculia villosa,Ornamental,Medicinal,LC,Not listed,Terai,
Tree,सेमल,Red Silk Cotton,Bombax ceiba,Fiber,"Fodder, Medicinal",LC,Not listed,Terai to hills,
Tree,कदम्ब,Kadam,Neolamarckia cadamba,Timber,Sacred,LC,Not listed,Terai,
Tree,तुन,Cedrela,Toona ciliata,Timber,Fodder,VU,Not listed,Hills,
Shrub/Bamboo,बाँस (ठूलो),Giant Bamboo,Dendrocalamus giganteus,Construction,"Shoots edible, Fodder",LC,Not listed,Terai to hills,
Shrub/Bamboo,बाँस (साधारण),Common Bamboo,Bambusa tulda,Construction,"Shoots edible",LC,Not listed,Terai to hills,
Shrub/Bamboo,निगालो,Hill Bamboo,Drepanostachyum falcatum,Fodder,"Construction, Paper",LC,Not listed,Mid to high hills,
Shrub/Bamboo,माल बाँस,Male Bamboo,Dendrocalamus hamiltonii,Construction,Shoots,LC,Not listed,Terai to mid-hills,
Shrub/Bamboo,तामा बाँस,Tama Bamboo,Bambusa balcooa,Construction,Shoots,LC,Not listed,Eastern Nepal,
Shrub/Bamboo,नेत,Cane,Calamus tenuis,Handicraft,Furniture,LC,Appendix II (some),Terai forests,
Shrub,अमलिसो,Amriso,Thysanolaena maxima,Broom,Fodder,LC,Not listed,Hills,Commercial broom grass
Shrub,केभ्रा,Lemongrass,Cymbopogon flexuosus,Oil,Medicinal,LC,Not listed,Hills,Essential oil
Shrub,तितेपाती,Mugwort,Artemisia vulgaris,Medicinal,Insecticide,LC,Not listed,Hills,
Shrub,धतुरो,Thorn Apple,Datura stramonium,Medicinal,Poisonous,LC,Not listed,Terai to hills,Toxic plant
